,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Christina Koch,328:13:58
,,,,,,,,,,,Yuri Gidzenko,329:22:47
,,,,,,,,,,,Shannon Walker,330:13:40
,,,,,,,,,,,Aleksandr Samokutyayev,331:11:23
,,,,,,,,,,,Vladimir Lyakhov,333:07:48
,,,,,,,,,,,Roman Romanenko,333:11:00
,,,,,,,,,,,Aleksandr Misurkin,333:11:28
,,,,,,,,,,,Michael S. Hopkins,333:12:54
,,,,,,,,,,,Maksim Surayev,334:12:09
,,,,,,,,,,,Andrei Borisenko,337:08:56
,,,,,,,,,,,Talgat Musabayev,341:09:48
,,,,,,,,,,,Soichi Noguchi,344:09:34
,,,,,,,,,,,Koichi Wakata,347:08:32
,,,,,,,,,,,Thomas Reiter,350:05:35
,,,,,,,,,,,Sergey Nikolayevich Ryzhikov,358:02:24
,,,,,,,,,,,Alexander Gerst,361:20:43
,,,,,,,,,,,Vladimir Solovyov,361:22:50
,,,,,,,,,,,Oleg Artemyev,364:23:05
,,,,,,,,,,,Luca Parmitano,366:16:42
,,,,,,,,,,,Sergei Avdeyev,367:23:23
,,,,,,,,,,,Donald Pettit,370:16:42
,,,,,,,,,,,Valery Ryumin,371:17:25
,,,,,,,,,,,Aleksandr Serebrov,372:22:53
,,,,,,,,,,,Michael Foale,374:17:17
,,,,,,,,,,,Leonid Kizim,374:17:58
,,,,,,,,,,,Aleksey Ovchinin,374:19:31
,,,,,,,,,,,Christopher Cassidy,377:17:48
,,,,,,,,,,,Michael Fincke,381:15:09
,,,,,,,,,,,Valery Korzun,381:15:41
,,,,,,,,,,,Vasili Tsibliyev,381:15:53
,,,,,,,,,,,Vladimir Titov,388:00:45
,,,,,,,,,,,Yuri Onufrienko,389:14:46
,,,,,,,,,,,Alexander Volkov,391:11:52
,,,,,,,,,,,Yuri Romanenko,430:18:21
,,,,,,,,,,,Nikolai Budarin,445:01:26
,,,,,,,,,,,Anatoli Ivanishin,476:04:42
,,,,,,,,,,,Alexander Viktorenko,489:01:35
,,,,,,,,,,,Mikhail Korniyenko,516:10:01
,,,,,,,,,,,Scott Kelly,521:10:33
,,,,,,,,,,,Oleg Kotov,526:05:03
,,,,,,,,,,,Mikhail Tyurin,532:02:52
,,,,,,,,,,,Anton Shkaplerov,533:05:31
,,,,,,,,,,,Jeffrey Williams,534:02:47
,,,,,,,,,,,Oleg Skripochka,536:03:48
,,,,,,,,,,,Musa Manarov,541:00:29
,,,,,,,,,,,Aleksandr Skvortsov,545:16:49
,,,,,,,,,,,Pavel Vinogradov,546:22:32
,,,,,,,,,,,Sergey Volkov,547:22:22
,,,,,,,,,,,Yury Usachov,552:22:24
,,,,,,,,,,,K. Megan McArthur,555:15:37
,,,,,,,,,,,Viktor M. Afanasyev,555:18:34
,,,,,,,,,,,Pyotr Dubrov,556:20:06
,,,,,,,,,,,Anatoly Solovyev,651:00:03
,,,,,,,,,,,Peggy Whitson,665:22:27
,,,,,,,,,,,Fyodor Yurchikhin,672:20:40
,,,,,,,,,,,"Valeri Polyakov, M.D.",678:16:33
,,,,,,,,,,,Akihiko Hoshide,683:11:27
,,,,,,,,,,,Mark Vande Hei,724:01:20
,,,,,,,,,,,Robert S. Kimbrough,731:17:45
,,,,,,,,,,,Oleg Kononenko,736:18:43
,,,,,,,,,,,Thomas Pesquet,739:11:53
