,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Roberto Vittori,000:00:324
,,,,,,,,,,,Robert L. Gibson,000:00:325
,,,,,,,,,,,Eileen Collins,000:00:326
,,,,,,,,,,,Rex Walheim,000:00:327
,,,,,,,,,,,Aleksei Gubarev,000:00:328
,,,,,,,,,,,Robert Curbeam,000:00:329
,,,,,,,,,,,Andrew M. Allen,000:00:330
,,,,,,,,,,,Robert D. Cabana,000:00:331
,,,,,,,,,,,Linda Godwin,000:00:332
,,,,,,,,,,,Charles Precourt,000:00:333
,,,,,,,,,,,Pamela Melroy,000:00:334
,,,,,,,,,,,Richard Searfoss,000:00:335
,,,,,,,,,,,Patrick Forrester,000:00:336
,,,,,,,,,,,Michael Baker,000:00:337
,,,,,,,,,,,Christopher Ferguson,000:00:338
,,,,,,,,,,,Stephen G. Bowen,000:00:339
,,,,,,,,,,,Ellen Ochoa,000:00:340
,,,,,,,,,,,Kathryn Thornton,000:00:341
,,,,,,,,,,,Brian Duffy,000:00:342
,,,,,,,,,,,Terrence Wilcutt,000:00:343
,,,,,,,,,,,Steven Smith,000:00:344
,,,,,,,,,,,Mark Polansky,000:00:345
,,,,,,,,,,,Nancy J. Currie,000:00:346
,,,,,,,,,,,"Brent W. Jett, Jr.",000:00:347
,,,,,,,,,,,Terence Henricks,000:00:348
,,,,,,,,,,,Stephanie Wilson,000:00:349
,,,,,,,,,,,Michael Gernhardt,000:00:350
,,,,,,,,,,,Donald Thomas,000:00:351
,,,,,,,,,,,James H. Newman,000:00:352
,,,,,,,,,,,Claude Nicollier,000:00:353
,,,,,,,,,,,Joseph Tanner,000:00:354
,,,,,,,,,,,Peter Wisoff,000:00:355
,,,,,,,,,,,Jean-Loup Chrétien,000:00:356
,,,,,,,,,,,Scott Horowitz,000:00:357
,,,,,,,,,,,Jing Haipeng,000:00:358
,,,,,,,,,,,Stephen Robinson,000:00:359
,,,,,,,,,,,Dominic Gorie,000:00:360
,,,,,,,,,,,"Charles ""Pete"" Conrad",000:00:361
,,,,,,,,,,,Janice Voss,000:00:362
,,,,,,,,,,,Vitaliy Zholobov,000:00:363
,,,,,,,,,,,Ulf Merbold,000:00:364
,,,,,,,,,,,Bonnie J. Dunbar,000:00:365
,,,,,,,,,,,Jeffrey Hoffman,000:00:366
,,,,,,,,,,,Scott Altman,000:00:367
,,,,,,,,,,,Frederick Sturckow,000:00:368
,,,,,,,,,,,Wendy Lawrence,000:00:369
,,,,,,,,,,,Boris Volynov,000:00:370
,,,,,,,,,,,James Halsell,000:00:371
,,,,,,,,,,,Kevin Kregel,000:00:372
,,,,,,,,,,,Thomas D. Jones,000:00:373
,,,,,,,,,,,"Story Musgrave, M.D.",000:00:374
,,,,,,,,,,,Mark Kelly,000:00:375
,,,,,,,,,,,Marsha Ivins,000:00:376
,,,,,,,,,,,Jerry L. Ross,000:00:377
,,,,,,,,,,,Curtis Brown,000:00:378
,,,,,,,,,,,"Scott Parazynski, M.D.",000:00:379
,,,,,,,,,,,Richard Linnehan,000:00:380
,,,,,,,,,,,John Grunsfeld,000:00:381
,,,,,,,,,,,Tamara E. Jernigan,000:00:382
,,,,,,,,,,,Steven Lindsey,000:00:383
,,,,,,,,,,,Kenneth Cockrell,000:00:384
,,,,,,,,,,,Vladimir Vasyutin,000:00:385
,,,,,,,,,,,Franklin Chang-Diaz,000:00:386
,,,,,,,,,,,Kent Rominger,000:00:387
,,,,,,,,,,,Jack Lousma,000:00:388
,,,,,,,,,,,James Wetherbee,000:00:389
,,,,,,,,,,,"Léopold Eyharts, EAC",000:00:390
,,,,,,,,,,,Alan Bean,000:00:391
,,,,,,,,,,,Owen Garriott,000:00:392
,,,,,,,,,,,Petr Klimuk,000:00:393
,,,,,,,,,,,Vitali Sevastyanov,000:00:394
,,,,,,,,,,,Sergei Zalyotin,000:00:395
,,,,,,,,,,,Edward Gibson,000:00:396
,,,,,,,,,,,Gerald P. Carr,000:00:397
,,,,,,,,,,,William Pogue,000:00:398
,,,,,,,,,,,Aleksandar Panayotov Aleksandrov,000:00:399
,,,,,,,,,,,Douglas G. Hurley,000:00:400
,,,,,,,,,,,Robert L. Behnken,000:00:401
